reading_id,machine_id,timestamp,current_temperature,current_vibration,current_pressure,current_runtime_hours,current_energy_consumption,current_operating_load,machine_type,site_id,manufacturer,expected_lifetime_years,criticality,temperature_delta_from_machine_baseline,vibration_delta_from_machine_baseline,pressure_delta_from_machine_baseline,temperature_pressure_ratio,vibration_load_ratio,energy_per_runtime_hour,machine_age_days,estimated_lifetime_used_ratio,temperature_rolling_mean,temperature_rolling_max,temperature_rolling_min,temperature_rolling_std,vibration_rolling_mean,vibration_rolling_max,vibration_rolling_std,pressure_rolling_mean,pressure_rolling_min,pressure_rolling_std,operating_load_rolling_mean,energy_consumption_rolling_mean,temperature_rolling_mean_72h,temperature_rolling_max_72h,temperature_rolling_min_72h,temperature_rolling_std_72h,vibration_rolling_mean_72h,vibration_rolling_max_72h,vibration_rolling_std_72h,pressure_rolling_mean_72h,pressure_rolling_min_72h,pressure_rolling_std_72h,operating_load_rolling_mean_72h,energy_consumption_rolling_mean_72h,last_maintenance_type,cumulative_maintenance_count,cumulative_maintenance_cost,cumulative_downtime_hours,average_risk_reduction_score,days_since_last_maintenance,recent_maintenance_flag,failure_within_label_window
R00000001,M0001,2024-01-01 00:00:00,96.36,5.954,146.58,7820.77,67.77,0.735,generator,site_east,OmniWorks,14,high,6.489999999999995,0.6739999999999995,5.310000000000002,0.6573884568153908,8.100680272108843,0.008665387167759695,3407,0.6662755451256478,96.36,96.36,96.36,0.0,5.954,5.954,0.0,146.58,146.58,0.0,0.735,67.77,96.36,96.36,96.36,0.0,5.954,5.954,0.0,146.58,146.58,0.0,0.735,67.77,none,0.0,0.0,0.0,0.0,-1.0,0,0
R00000002,M0001,2024-01-01 06:00:00,96.3,6.068,142.41,7825.61,64.16,0.807,generator,site_east,OmniWorks,14,high,6.429999999999993,0.7879999999999994,1.1399999999999864,0.6762165578259953,7.519206939281288,0.008198721888772888,3407,0.6662755451256478,96.33,96.36,96.3,0.04242640687119446,6.010999999999999,6.068,0.08061017305526665,144.495,142.41,2.9486352775479143,0.771,65.965,96.33,96.36,96.3,0.04242640687119446,6.010999999999999,6.068,0.08061017305526665,144.495,142.41,2.9486352775479143,0.771,65.965,none,0.0,0.0,0.0,0.0,-1.0,0,0
R00000003,M0001,2024-01-01 12:00:00,94.19,6.186,148.28,7830.84,68.73,0.872,generator,site_east,OmniWorks,14,high,4.319999999999993,0.9059999999999997,7.009999999999991,0.6352171567305098,7.094036697247707,0.0087768362014803,3407,0.6662755451256478,95.61666666666667,96.36,94.19,1.2358937386900741,6.069333333333333,6.186,0.1160057469840759,145.75666666666666,142.41,3.0203697345413483,0.8046666666666668,66.88666666666667,95.61666666666667,96.36,94.19,1.2358937386900741,6.069333333333333,6.186,0.1160057469840759,145.75666666666666,142.41,3.0203697345413483,0.8046666666666668,66.88666666666667,none,0.0,0.0,0.0,0.0,-1.0,0,0
R00000004,M0001,2024-01-01 18:00:00,91.46,6.365,153.83,7835.76,67.01,0.82,generator,site_east,OmniWorks,14,high,1.5899999999999892,1.085,12.560000000000002,0.5945524280049405,7.76219512195122,0.008551818840801658,3407,0.6662755451256478,94.5775,96.36,91.46,2.310358918725253,6.14325,6.365,0.17557405844828028,147.775,142.41,4.730373487720966,0.8085,66.9175,94.5775,96.36,91.46,2.310358918725253,6.14325,6.365,0.17557405844828028,147.775,142.41,4.730373487720966,0.8085,66.9175,none,0.0,0.0,0.0,0.0,-1.0,0,0
R00000005,M0001,2024-01-02 00:00:00,96.97,6.401,150.86,7841.2,70.04,0.907,generator,site_east,OmniWorks,14,high,7.099999999999994,1.1209999999999996,9.590000000000003,0.6427813867161606,7.057331863285556,0.008932306279651074,3408,0.6664711058961572,94.72999999999999,96.97,91.46,2.481061600740025,6.255,6.401,0.15614736629223075,148.845,142.41,4.852452987922714,0.8515,67.48500000000001,95.056,96.97,91.46,2.2689490959472858,6.1948,6.401,0.1908053982464859,148.392,142.41,4.322704014849974,0.8282,67.542,none,0.0,0.0,0.0,0.0,-1.0,0,0
R00000006,M0001,2024-01-02 06:00:00,94.52,6.211,142.98,7846.34,65.49,0.857,generator,site_east,OmniWorks,14,high,4.6499999999999915,0.931,1.7099999999999795,0.6610714785284655,7.247374562427072,0.008346566679496428,3408,0.6664711058961572,94.285,96.97,91.46,2.2549279367642723,6.29075,6.401,0.10801350224238955,148.9875,142.98,4.602415126865465,0.8640000000000001,67.8175,94.96666666666665,96.97,91.46,2.0411728654542394,6.197500000000001,6.401,0.17078963668794447,147.49,142.41,4.453115763148325,0.8330000000000001,67.2,none,0.0,0.0,0.0,0.0,-1.0,0,0
R00000007,M0001,2024-01-02 12:00:00,96.49,6.555,147.78,7852.0,66.62,0.943,generator,site_east,OmniWorks,14,high,6.61999999999999,1.2749999999999995,6.509999999999991,0.6529300311273514,6.951219512195122,0.00848446255731024,3408,0.6664711058961572,94.85999999999999,96.97,91.46,2.5023056035051603,6.383,6.555,0.14120434365368026,148.8625,142.98,4.634712324765518,0.8817499999999999,67.29,95.1842857142857,96.97,91.46,1.9502551725595403,6.248571428571429,6.555,0.20631436946470574,147.53142857142856,142.41,4.066597384265421,0.8487142857142856,67.11714285714285,none,0.0,0.0,0.0,0.0,-1.0,0,0
R00000008,M0001,2024-01-02 18:00:00,92.5,5.926,151.77,7856.64,64.63,0.774,generator,site_east,OmniWorks,14,high,2.6299999999999955,0.6459999999999999,10.5,0.609474863279963,7.656330749354005,0.008226162838057998,3408,0.6664711058961572,95.11999999999999,96.97,92.5,2.043183790068817,6.27325,6.555,0.27090019687454386,148.3475,142.98,3.964773007373818,0.87025,66.69500000000001,94.84875,96.97,91.46,2.0398069761622053,6.20825,6.555,0.22246653038796002,148.06125,142.41,4.052214341743119,0.839375,66.80625,none,0.0,0.0,0.0,0.0,-1.0,0,0
R00000009,M0001,2024-01-03 00:00:00,92.8,6.109,147.99,7861.68,64.59,0.839,generator,site_east,OmniWorks,14,high,2.9299999999999926,0.8289999999999997,6.719999999999999,0.62706939658085,7.281287246722289,0.00821580120279635,3409,0.6666666666666666,94.0775,96.49,92.5,1.838158045435678,6.20025,6.555,0.2642617074038538,147.63,142.98,3.6015829852996646,0.85325,65.3325,94.6211111111111,96.97,91.46,2.0265947081523503,6.197222222222222,6.555,0.2107117567779369,148.05333333333334,142.41,3.790573835186441,0.8393333333333334,66.56,none,0.0,0.0,0.0,0.0,-1.0,0,0
R00000010,M0001,2024-01-03 06:00:00,95.61,5.994,154.19,7866.32,66.61,0.774,generator,site_east,OmniWorks,14,high,5.739999999999995,0.7139999999999995,12.919999999999987,0.620079123159738,7.7441860465116275,0.008467746036266006,3409,0.6666666666666666,94.35,96.49,92.5,1.999349894340642,6.146,6.555,0.2829334432924702,150.4325,147.78,3.1042591708811615,0.8325,65.6125,94.72,96.97,91.46,1.9361129443638696,6.1769,6.555,0.20879679116308278,148.667,142.41,4.066672267755704,0.8328,66.565,none,0.0,0.0,0.0,0.0,-1.0,0,0
