reading_id,machine_id,timestamp,temperature,vibration,pressure,runtime_hours,energy_consumption,operating_load
R00000001,M0001,2024-01-01T00:00:00,96.36,5.954,146.58,7820.77,67.77,0.735
R00000002,M0001,2024-01-01T06:00:00,96.3,6.068,142.41,7825.61,64.16,0.807
R00000003,M0001,2024-01-01T12:00:00,94.19,6.186,148.28,7830.84,68.73,0.872
R00000004,M0001,2024-01-01T18:00:00,91.46,6.365,153.83,7835.76,67.01,0.82
R00000005,M0001,2024-01-02T00:00:00,96.97,6.401,150.86,7841.2,70.04,0.907
R00000006,M0001,2024-01-02T06:00:00,94.52,6.211,142.98,7846.34,65.49,0.857
R00000007,M0001,2024-01-02T12:00:00,96.49,6.555,147.78,7852.0,66.62,0.943
R00000008,M0001,2024-01-02T18:00:00,92.5,5.926,151.77,7856.64,64.63,0.774
R00000009,M0001,2024-01-03T00:00:00,92.8,6.109,147.99,7861.68,64.59,0.839
R00000010,M0001,2024-01-03T06:00:00,95.61,5.994,154.19,7866.32,66.61,0.774
R00000011,M0001,2024-01-03T12:00:00,90.56,6.212,146.46,7870.96,63.64,0.773
R00000012,M0001,2024-01-03T18:00:00,93.03,6.493,149.12,7876.67,67.6,0.952
R00000013,M0001,2024-01-04T00:00:00,94.22,6.514,138.78,7881.41,63.05,0.79
R00000014,M0001,2024-01-04T06:00:00,95.77,6.114,148.99,7885.86,66.12,0.74
R00000015,M0001,2024-01-04T12:00:00,96.64,6.074,152.22,7891.33,68.65,0.912
R00000016,M0001,2024-01-04T18:00:00,93.32,5.909,147.18,7895.76,68.61,0.738
R00000017,M0001,2024-01-05T00:00:00,90.38,6.12,144.13,7898.94,63.09,0.53
R00000018,M0001,2024-01-05T06:00:00,93.48,6.089,155.68,7902.75,69.18,0.634
R00000019,M0001,2024-01-05T12:00:00,93.4,6.286,140.06,7907.27,66.07,0.755
R00000020,M0001,2024-01-05T18:00:00,91.72,6.392,143.9,7911.41,65.79,0.69
R00000021,M0001,2024-01-06T00:00:00,95.2,6.414,151.24,7916.46,66.05,0.84
R00000022,M0001,2024-01-06T06:00:00,96.43,6.457,147.03,7921.67,69.24,0.87
R00000023,M0001,2024-01-06T12:00:00,94.4,6.51,152.04,7926.88,67.16,0.867
R00000024,M0001,2024-01-06T18:00:00,96.21,6.672,143.66,7932.17,66.89,0.883
R00000025,M0001,2024-01-07T00:00:00,93.37,6.514,147.13,7937.95,68.64,0.963
R00000026,M0001,2024-01-07T06:00:00,94.9,6.147,144.87,7942.69,65.02,0.789
R00000027,M0001,2024-01-07T12:00:00,95.88,6.39,147.41,7948.69,68.38,1.0
R00000028,M0001,2024-01-07T18:00:00,87.53,6.34,140.16,7953.02,59.06,0.722
R00000029,M0001,2024-01-08T00:00:00,95.8,5.83,151.52,7957.03,66.94,0.669
R00000030,M0001,2024-01-08T06:00:00,95.01,6.172,151.13,7962.34,66.23,0.886
R00000031,M0001,2024-01-08T12:00:00,95.57,6.162,143.9,7967.51,65.05,0.862
R00000032,M0001,2024-01-08T18:00:00,93.08,6.205,147.85,7972.37,67.51,0.81
R00000033,M0001,2024-01-09T00:00:00,97.28,6.421,144.41,7977.58,72.29,0.868
R00000034,M0001,2024-01-09T06:00:00,97.53,5.897,145.64,7982.03,63.49,0.742
R00000035,M0001,2024-01-09T12:00:00,91.52,6.243,153.28,7986.71,63.91,0.781
R00000036,M0001,2024-01-09T18:00:00,91.42,6.167,150.88,7991.71,65.58,0.833
R00000037,M0001,2024-01-10T00:00:00,94.5,6.423,149.57,7997.66,69.88,0.991
R00000038,M0001,2024-01-10T06:00:00,95.72,5.921,144.1,8002.17,68.0,0.751
R00000039,M0001,2024-01-10T12:00:00,95.67,6.515,153.75,8007.4,67.48,0.872
R00000040,M0001,2024-01-10T18:00:00,91.64,5.961,145.72,8012.44,68.82,0.841
R00000041,M0001,2024-01-11T00:00:00,94.12,6.37,139.74,8017.48,62.97,0.84
R00000042,M0001,2024-01-11T06:00:00,96.65,6.078,143.33,8022.81,67.92,0.888
R00000043,M0001,2024-01-11T12:00:00,96.77,6.139,147.6,8028.81,67.87,1.0
R00000044,M0001,2024-01-11T18:00:00,91.62,6.029,139.81,8032.2,62.77,0.566
R00000045,M0001,2024-01-12T00:00:00,91.93,5.837,138.73,8036.24,65.77,0.673
R00000046,M0001,2024-01-12T06:00:00,96.1,6.855,144.55,8041.53,71.7,0.883
R00000047,M0001,2024-01-12T12:00:00,92.0,6.089,148.28,8044.5,62.65,0.494
R00000048,M0001,2024-01-12T18:00:00,93.68,6.598,147.25,8049.57,68.23,0.844
R00000049,M0001,2024-01-13T00:00:00,95.4,6.055,144.23,8053.39,66.1,0.637
R00000050,M0001,2024-01-13T06:00:00,95.51,6.121,147.41,8057.16,62.94,0.628
R00000051,M0001,2024-01-13T12:00:00,95.46,6.566,143.48,8061.87,69.68,0.786
