failure_id,machine_id,failure_date,failure_type,severity,root_cause,downtime_hours,repair_cost
F00001,M0001,2024-03-22,electrical_fault,minor,control board fault,9.91,1271.76
F00002,M0002,2024-03-07,vibration_related_failure,major,rotor imbalance,19.7,11061.05
F00003,M0003,2024-03-23,bearing_wear,moderate,shaft misalignment,5.33,5698.01
F00004,M0009,2024-03-22,pressure_system_failure,moderate,pressure leak,17.04,2074.06
F00005,M0012,2024-03-07,electrical_fault,moderate,wiring degradation,8.67,7758.08
F00006,M0013,2024-02-29,bearing_wear,moderate,lubrication breakdown,6.21,2278.82
F00007,M0014,2024-02-23,bearing_wear,major,bearing fatigue,18.79,12854.12
F00008,M0015,2024-02-27,bearing_wear,critical,bearing fatigue,33.72,19544.93
F00009,M0017,2024-03-19,bearing_wear,moderate,bearing fatigue,13.61,1289.81
F00010,M0019,2024-02-13,bearing_wear,moderate,lubrication breakdown,8.23,7904.63
F00011,M0020,2024-02-22,vibration_related_failure,major,rotor imbalance,12.76,11694.95
F00012,M0022,2024-01-12,pressure_system_failure,minor,valve instability,11.59,988.19
F00013,M0022,2024-01-30,overheating,major,cooling inefficiency,10.84,12556.25
F00014,M0023,2024-03-21,overheating,minor,cooling inefficiency,8.74,4935.57
F00015,M0025,2024-01-30,electrical_fault,critical,control board fault,35.54,15111.08
F00016,M0026,2024-02-14,overheating,minor,cooling inefficiency,7.74,4647.91
F00017,M0027,2024-01-17,bearing_wear,major,shaft misalignment,10.72,5082.46
F00019,M0029,2024-02-15,overheating,minor,thermal overload,4.6,5847.94
F00018,M0029,2024-03-09,overheating,moderate,blocked ventilation,4.59,7654.26
F00020,M0035,2024-02-22,pressure_system_failure,major,seal degradation,20.94,12906.14
