maintenance_id,machine_id,maintenance_date,maintenance_type,technician_team,downtime_hours,parts_replaced,maintenance_cost,risk_reduction_score
PM00001,M0001,2024-02-13,preventive,team_beta,2.09,filters,1000.06,0.376
PM00080,M0001,2024-03-23,corrective,team_beta,4.99,couplings,2116.66,0.441
PM00003,M0002,2024-02-19,preventive,team_omega,3.08,belts,1175.92,0.326
PM00002,M0002,2024-02-21,inspection,team_beta,0.96,none,400.51,0.097
PM00081,M0002,2024-03-08,emergency,team_omega,23.55,control board,10135.53,0.635
PM00005,M0003,2024-01-08,preventive,team_beta,2.25,lubricant,875.38,0.386
PM00004,M0003,2024-02-05,inspection,team_beta,0.77,none,293.87,0.159
PM00082,M0003,2024-03-25,corrective,team_alpha,7.04,couplings,3377.13,0.476
PM00006,M0004,2024-01-17,inspection,team_delta,0.92,none,309.57,0.128
PM00007,M0005,2024-03-18,preventive,team_delta,3.24,belts,1102.19,0.278
PM00008,M0006,2024-01-31,preventive,team_alpha,2.06,belts,801.06,0.241
PM00009,M0006,2024-02-17,inspection,team_omega,1.03,none,441.52,0.179
PM00010,M0007,2024-03-30,preventive,team_omega,1.87,lubricant,1093.89,0.308
PM00011,M0008,2024-01-23,preventive,team_omega,1.82,lubricant,864.57,0.323
PM00012,M0009,2024-01-22,preventive,team_omega,2.71,belts,1041.33,0.368
PM00013,M0009,2024-02-25,inspection,team_alpha,0.92,none,383.86,0.094
PM00083,M0009,2024-03-22,corrective,team_delta,6.34,couplings,2709.27,0.388
PM00017,M0010,2024-01-14,preventive,team_delta,1.76,lubricant,1068.0,0.358
PM00014,M0010,2024-01-29,inspection,team_delta,1.21,none,345.56,0.115
PM00015,M0010,2024-02-17,preventive,team_alpha,2.35,belts,1032.26,0.244
PM00016,M0010,2024-03-23,preventive,team_beta,1.79,filters,1179.09,0.312
PM00020,M0011,2024-01-11,inspection,team_omega,0.87,none,421.25,0.147
PM00018,M0011,2024-01-26,inspection,team_delta,1.28,none,430.54,0.163
PM00019,M0011,2024-03-06,preventive,team_delta,2.41,belts,993.79,0.364
PM00021,M0012,2024-02-16,preventive,team_omega,2.48,belts,950.16,0.444
PM00084,M0012,2024-03-08,corrective,team_omega,7.7,bearings,3017.39,0.549
PM00085,M0013,2024-02-29,corrective,team_alpha,6.27,couplings,3192.76,0.608
PM00023,M0013,2024-03-26,preventive,team_alpha,1.91,belts,1073.06,0.393
PM00022,M0013,2024-03-29,preventive,team_delta,3.14,belts,1127.18,0.209
PM00025,M0014,2024-02-18,preventive,team_alpha,2.35,belts,1052.45,0.259
PM00086,M0014,2024-02-23,emergency,team_omega,28.18,motor assembly,8641.8,0.541
PM00024,M0014,2024-03-02,preventive,team_alpha,3.04,lubricant,722.23,0.329
PM00026,M0014,2024-03-21,inspection,team_delta,1.21,none,337.55,0.127
PM00027,M0015,2024-02-01,inspection,team_omega,0.75,none,345.82,0.143
PM00087,M0015,2024-02-29,emergency,team_alpha,33.41,motor assembly,19354.12,0.517
PM00029,M0016,2024-01-07,preventive,team_beta,3.12,filters,786.51,0.291
PM00028,M0016,2024-01-18,preventive,team_delta,2.61,filters,1213.8,0.375
PM00030,M0017,2024-02-15,preventive,team_delta,2.43,filters,1034.1,0.286
PM00088,M0017,2024-03-21,corrective,team_omega,7.85,seals,3442.68,0.533
PM00032,M0018,2024-01-30,inspection,team_alpha,1.09,none,337.63,0.081
PM00031,M0018,2024-02-01,preventive,team_omega,2.1,lubricant,1169.99,0.332
PM00033,M0018,2024-02-23,preventive,team_alpha,3.06,filters,860.21,0.34
PM00035,M0019,2024-01-17,preventive,team_delta,1.9,lubricant,1192.9,0.328
PM00089,M0019,2024-02-15,corrective,team_beta,7.53,bearings,3475.86,0.47
PM00034,M0019,2024-02-23,inspection,team_delta,1.19,none,453.74,0.152
PM00036,M0019,2024-02-29,preventive,team_alpha,3.19,filters,770.99,0.21
PM00090,M0020,2024-02-22,emergency,team_beta,18.28,control board,10118.74,0.739
PM00037,M0020,2024-03-29,preventive,team_beta,2.52,belts,745.23,0.228
PM00038,M0021,2024-01-29,inspection,team_beta,0.88,none,355.87,0.104
PM00091,M0022,2024-01-14,corrective,team_delta,4.74,bearings,2310.84,0.447
PM00039,M0022,2024-01-20,preventive,team_beta,1.75,belts,971.54,0.322
PM00092,M0022,2024-02-01,emergency,team_omega,25.44,pressure valve,11385.3,0.56
PM00040,M0023,2024-02-12,inspection,team_omega,0.86,none,342.08,0.082
PM00093,M0023,2024-03-23,corrective,team_alpha,6.11,couplings,2300.17,0.643
PM00041,M0024,2024-01-23,preventive,team_omega,1.82,lubricant,1072.22,0.238
PM00042,M0024,2024-02-12,preventive,team_beta,3.13,filters,724.58,0.247
PM00094,M0025,2024-02-01,emergency,team_alpha,44.5,control board,18145.04,0.609
PM00043,M0025,2024-03-04,preventive,team_delta,2.11,filters,1012.15,0.412
PM00095,M0026,2024-02-15,corrective,team_beta,4.14,seals,1745.61,0.427
PM00044,M0026,2024-02-21,inspection,team_delta,0.8,none,428.79,0.161
PM00096,M0027,2024-01-18,emergency,team_beta,24.22,pressure valve,9130.08,0.719
PM00045,M0027,2024-02-26,preventive,team_omega,3.23,lubricant,898.96,0.403
PM00047,M0028,2024-01-08,preventive,team_delta,2.84,filters,1070.51,0.385
PM00046,M0028,2024-02-16,preventive,team_beta,2.23,belts,734.77,0.287
PM00049,M0029,2024-01-17,preventive,team_omega,3.24,filters,1009.4,0.232
PM00097,M0029,2024-02-15,corrective,team_omega,3.92,seals,1792.47,0.589
PM00098,M0029,2024-03-09,corrective,team_alpha,5.48,couplings,3187.3,0.385
PM00048,M0029,2024-03-11,preventive,team_alpha,2.79,filters,971.11,0.448
PM00050,M0030,2024-02-10,preventive,team_delta,2.19,lubricant,1133.94,0.205
PM00052,M0030,2024-02-17,preventive,team_beta,2.77,lubricant,1000.63,0.39
PM00051,M0030,2024-03-01,preventive,team_alpha,3.06,filters,845.56,0.353
PM00053,M0030,2024-03-06,inspection,team_alpha,1.01,none,282.4,0.153
PM00054,M0031,2024-02-08,preventive,team_omega,2.34,belts,1057.88,0.237
PM00055,M0032,2024-03-23,preventive,team_omega,3.12,filters,952.55,0.383
PM00056,M0033,2024-01-20,inspection,team_delta,1.17,none,389.71,0.064
PM00057,M0033,2024-03-07,inspection,team_delta,1.18,none,299.22,0.077
PM00058,M0034,2024-03-19,inspection,team_omega,1.13,none,450.86,0.101
PM00059,M0035,2024-02-04,preventive,team_beta,2.65,lubricant,1183.01,0.317
PM00099,M0035,2024-02-22,emergency,team_beta,33.26,motor assembly,8776.03,0.59
PM00060,M0036,2024-02-03,preventive,team_beta,1.95,filters,1058.86,0.285
PM00061,M0037,2024-01-16,preventive,team_beta,3.07,belts,857.67,0.251
PM00062,M0038,2024-01-07,preventive,team_beta,2.14,filters,958.34,0.44
PM00063,M0039,2024-01-06,preventive,team_alpha,2.9,filters,1153.97,0.425
PM00064,M0039,2024-02-25,inspection,team_omega,1.27,none,293.83,0.068
PM00065,M0040,2024-03-14,preventive,team_omega,2.68,lubricant,801.83,0.263
PM00066,M0041,2024-02-19,inspection,team_beta,1.14,none,336.99,0.098
PM00068,M0042,2024-01-17,preventive,team_omega,2.02,lubricant,942.68,0.261
PM00067,M0042,2024-02-22,preventive,team_delta,1.93,belts,1163.58,0.225
PM00070,M0043,2024-01-02,inspection,team_omega,1.01,none,374.44,0.119
PM00069,M0043,2024-02-07,preventive,team_delta,2.12,filters,799.82,0.435
PM00071,M0043,2024-03-15,preventive,team_beta,1.95,lubricant,1191.36,0.321
PM00072,M0044,2024-01-13,preventive,team_omega,2.13,filters,734.88,0.23
PM00074,M0045,2024-01-18,inspection,team_beta,0.79,none,457.23,0.094
PM00073,M0045,2024-03-28,preventive,team_beta,2.55,lubricant,1209.36,0.405
PM00075,M0046,2024-02-12,preventive,team_alpha,2.68,belts,1091.67,0.398
PM00076,M0047,2024-02-18,inspection,team_beta,1.08,none,280.44,0.179
PM00077,M0048,2024-03-13,preventive,team_alpha,1.98,belts,914.5,0.43
PM00078,M0049,2024-02-27,preventive,team_beta,2.65,lubricant,954.03,0.438
PM00079,M0050,2024-03-29,preventive,team_omega,1.81,belts,1161.78,0.387
